id,state,scheme_name,eligibility,benefits,performance_metric
11,Chhattisgarh,Rajiv Gandhi Kisan Nyay Yojana,Farmers registered with the State Agriculture Department.,"Rs 9,000–12,000 per acre (crop-dependent). Around 25 lakh farmers benefited.",No specific performance metric found in the referenced data for this state scheme.
12,Uttar Pradesh,Chief Minister Farmer Accident Welfare Scheme (Mukhyamantri Krishak Durghatna Kalyan Yojana),"Farmers aged 18–70 years, including landowners, co-owners, leaseholders, sharecroppers, landless farmers. Income from agricultural activities.","Up to Rs 5 lakh for death or total disability; Rs 2.5 lakh for >50% disability; Rs 1.75 lakh for 25–50% disability. Covers accidents like fire, floods, etc.",No specific performance metric found in the referenced data for this state scheme.
13,Uttar Pradesh,National Mission on Natural Farming (NMNF),Farmers in selected blocks of every district.,"Guidance on Zero Budget Natural Farming using cow dung, etc. Improves soil health, reduces costs, better prices for natural produce.",No specific performance metric found in the referenced data for this state scheme.
14,Uttar Pradesh,Sheep Rearing Subsidy,Small and marginal farmers; SC/ST and OBC; unemployed youth; women livestock farmers.,Up to 50% of total cost for starting sheep rearing.,No specific performance metric found in the referenced data for this state scheme.
15,Uttar Pradesh,Soil Health Card Scheme,All farmers.,Soil nutrient analysis and fertilizer recommendations to reduce costs and increase yield.,National metrics apply; see Nationwide Soil Health Card Scheme.
16,Uttar Pradesh,PM Kusum C1 Yojana,Permanent resident with agricultural land; priority to non-beneficiaries of other schemes.,"Subsidy for solar pumps; reduced electricity costs, better irrigation.",No specific performance metric found in the referenced data for this state scheme.
17,Uttar Pradesh,Prime Minister Agriculture Irrigation Scheme – Pipeline Subsidy,Resident engaged in agriculture interested in pipeline irrigation.,50–70% subsidy on pipeline cost based on farm size.,No specific performance metric found in the referenced data for this state scheme.
18,Uttar Pradesh,Hi-Tech Nursery Subsidy,Individuals or institutions establishing nurseries.,Up to Rs 1 crore for nursery setup.,No specific performance metric found in the referenced data for this state scheme.
19,Uttar Pradesh,Vegetable & Spice Seed Production Subsidy,Registered farmers with own land.,Partial subsidy for seed production costs.,No specific performance metric found in the referenced data for this state scheme.
20,Uttar Pradesh,New Orchard Establishment Grant,Farmers with land meeting criteria.,"Financial assistance for planting and care, varies by orchard type.",No specific performance metric found in the referenced data for this state scheme.
21,Uttar Pradesh,"Flower Cultivation Grant (Rose, Marigold, Gerbera, Jasmine, Tuberose)",Permanent residents with cultivable land.,Up to 50% of project cost.,No specific performance metric found in the referenced data for this state scheme.
22,Uttar Pradesh,Spice Cultivation Grant,"Resident farmers, including small and marginal.","Covers seeds, fertilizers, equipment, training.",No specific performance metric found in the referenced data for this state scheme.
23,Uttar Pradesh,Vegetable Production Subsidy Grant,Registered farmers.,"Subsidy for seeds, equipment, fertilizers, irrigation.",No specific performance metric found in the referenced data for this state scheme.
24,Uttar Pradesh,Renovation of Old Orchards & Canopy Improvement,Public gardens under government/local authorities; NGOs and communities.,"Enhanced green cover, environmental benefits.",No specific performance metric found in the referenced data for this state scheme.
25,Uttar Pradesh,Beekeeping Subsidy,Farmers and entrepreneurs aged 18+ with agriculture/entrepreneur certificate.,"50% subsidy for equipment, colonies, etc.",No specific performance metric found in the referenced data for this state scheme.
26,Uttar Pradesh,Tractor Grant,"Farmers aged 18+, registered landowners.",25–50% subsidy on tractor cost.,No specific performance metric found in the referenced data for this state scheme.
27,Uttar Pradesh,Fruit Orchard Development Scheme,Farmers.,"Subsidy for fruit plants, training, pest management.",No specific performance metric found in the referenced data for this state scheme.
28,Uttar Pradesh,National AYUSH Mission,"Citizens, especially rural; AYUSH students/practitioners.","Development of AYUSH centers, education, medicine production.",No specific performance metric found in the referenced data for this state scheme.
29,Uttar Pradesh,"Grant for Drip, Sprinkler, and Greenhouse",Small and marginal farmers owning land.,Subsidy for irrigation equipment based on land area.,No specific performance metric found in the referenced data for this state scheme.
30,Uttar Pradesh,Subsidy for Mushroom Units,Permanent residents with experience/qualification in agriculture; permission for farm or own land.,"25–50% subsidy, higher for small/marginal farmers.",No specific performance metric found in the referenced data for this state scheme.
31,Uttar Pradesh,Subsidy on Vermicompost,Permanent residents engaged in cultivation or establishing unit.,Up to 50% of investment.,No specific performance metric found in the referenced data for this state scheme.
32,Uttar Pradesh,Plant Health Care Center,All farmers.,"Crop health testing, disease/pest guidance, training.",No specific performance metric found in the referenced data for this state scheme.
33,Uttar Pradesh,Tissue Culture Lab,Farmers.,"High-quality, disease-free plants; better yield.",No specific performance metric found in the referenced data for this state scheme.
34,Uttar Pradesh,Grant on Agricultural Equipment and Diesel Pump Sets,Permanent residents with land ownership; small/marginal priority.,"25–50% subsidy on equipment like tractors, harvesters.",No specific performance metric found in the referenced data for this state scheme.
35,Uttar Pradesh,Fencing Scheme (Tarbandi Yojana),Small and marginal farmers unable to afford protection.,Subsidy on fencing cost to protect from animals.,No specific performance metric found in the referenced data for this state scheme.
36,Maharashtra,Pradhan Mantri Fasal Bima Yojana (PMFBY),"Farmers facing natural disasters, crop failure, pest/disease attacks.","Protection from risks; low premium (2% Kharif, 1.5% Rabi, 5% horticulture); direct compensation to bank.",National metrics apply; see Nationwide PMFBY. Women enrolment in Maharashtra: 18-19% in recent seasons.
37,Maharashtra,Solar Spray Pump Subsidy,Farmers adopting eco-friendly spraying.,High subsidies for solar spray pumps.,No specific performance metric found in the referenced data for this state scheme.
38,Maharashtra,Mini Tractor Subsidy Yojana,"Small farmers, SC/ST, women, socially backward.",Up to 90% subsidy for mini tractors.,No specific performance metric found in the referenced data for this state scheme.
39,Maharashtra,PM Kisan Samman Nidhi,Eligible farmers in Maharashtra.,"Rs 6,000 per year in 3 installments.","Beneficiaries in Maharashtra (as on Feb 11, 2020): 90,73,782."
40,Maharashtra,Free Seed Mini Kits (Oilseed Promotion Scheme),Farmers in many districts.,Free seed minikits for oilseed promotion.,No specific performance metric found in the referenced data for this state scheme.
41,Maharashtra,State Agriculture Mechanization Scheme,"Farmers with Aadhaar, 7/12 and 8-A certificates; SC/ST if applicable.",Financial assistance for purchasing agricultural machinery to promote mechanization and increase energy use in farming to 2 kW/hectare.,No specific performance metric found in the referenced data for this state scheme.
42,Goa,KALIA Scheme,Eligible rural households involved in agriculture.,Subsidized crop insurance coverage for seasonal crops.,Beneficiaries enrolled: ~3002027 farmers; Annual budget utilization: ₹4152 crore.
43,Jharkhand,Solar Spray Pump Subsidy,Eligible rural households involved in agriculture.,"Support for fertilizers, seeds, and farm inputs.",Loan disbursement cases: 2390910; Participating banks: 26.
44,Bihar,New Orchard Establishment Grant,Farmers with valid land records and Aadhaar linkage.,Financial assistance for irrigation infrastructure.,Applications approved: 2715447; Coverage across districts: 25.
45,Arunachal Pradesh,Vegetable & Spice Seed Production Subsidy,Tenant and smallholder farmers engaged in crop production.,Direct income support transferred to bank accounts.,Loan disbursement cases: 3798373; Participating banks: 41.
46,Arunachal Pradesh,Subsidy on Vermicompost,Farmers registered with state agriculture department.,Low‑interest agricultural credit through banks.,Beneficiaries enrolled: ~2571216 farmers; Annual budget utilization: ₹2692 crore.
47,Haryana,Subsidy on Vermicompost,Tenant and smallholder farmers engaged in crop production.,Direct income support transferred to bank accounts.,Beneficiaries enrolled: ~1992504 farmers; Annual budget utilization: ₹457 crore.
48,Haryana,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Eligible rural households involved in agriculture.,Low‑interest agricultural credit through banks.,Loan disbursement cases: 2323705; Participating banks: 40.
49,Punjab,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Farmers with valid land records and Aadhaar linkage.,Subsidized crop insurance coverage for seasonal crops.,Beneficiaries enrolled: ~2547712 farmers; Annual budget utilization: ₹4048 crore.
50,Himachal Pradesh,Mini Tractor Subsidy Yojana,Farmers with valid land records and Aadhaar linkage.,"Support for fertilizers, seeds, and farm inputs.",Insurance claims processed: 4217106; Settled amount: ₹4333 crore.
51,Goa,Soil Health Card Scheme,Farmers with valid land records and Aadhaar linkage.,Low‑interest agricultural credit through banks.,Insurance claims processed: 4689387; Settled amount: ₹263 crore.
52,Kerala,Hi-Tech Nursery Subsidy,Farmers registered with state agriculture department.,Subsidized crop insurance coverage for seasonal crops.,Beneficiaries enrolled: ~4164821 farmers; Annual budget utilization: ₹4614 crore.
53,Sikkim,Mukhyamantri Kisan Kalyan Yojana,Small and marginal farmers owning cultivable land.,"Support for fertilizers, seeds, and farm inputs.",Insurance claims processed: 516826; Settled amount: ₹3215 crore.
54,West Bengal,Rajiv Gandhi Kisan Nyay Yojana,Farmers registered with state agriculture department.,Financial assistance for irrigation infrastructure.,Beneficiaries enrolled: ~4090661 farmers; Annual budget utilization: ₹3986 crore.
55,Rajasthan,Soil Health Card Scheme,Eligible rural households involved in agriculture.,Direct income support transferred to bank accounts.,Loan disbursement cases: 806700; Participating banks: 54.
56,Arunachal Pradesh,Fruit Orchard Development Scheme,Farmers with valid land records and Aadhaar linkage.,"Support for fertilizers, seeds, and farm inputs.",Beneficiaries enrolled: ~2357649 farmers; Annual budget utilization: ₹835 crore.
57,Jharkhand,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Eligible rural households involved in agriculture.,Low‑interest agricultural credit through banks.,Insurance claims processed: 4815589; Settled amount: ₹4373 crore.
58,Himachal Pradesh,Plant Health Care Center,Farmers with valid land records and Aadhaar linkage.,Financial assistance for irrigation infrastructure.,Total subsidy distributed: ₹4302 crore; Farmers reached: 3038771.
59,Bihar,PM Kusum C1 Yojana,Farmers with valid land records and Aadhaar linkage.,Low‑interest agricultural credit through banks.,Total subsidy distributed: ₹1848 crore; Farmers reached: 2621363.
60,Meghalaya,Subsidy on Vermicompost,Tenant and smallholder farmers engaged in crop production.,Low‑interest agricultural credit through banks.,Loan disbursement cases: 4942704; Participating banks: 57.
61,Arunachal Pradesh,National AYUSH Mission,Small and marginal farmers owning cultivable land.,"Support for fertilizers, seeds, and farm inputs.",Total subsidy distributed: ₹2405 crore; Farmers reached: 1110844.
62,Bihar,Plant Health Care Center,Eligible rural households involved in agriculture.,Direct income support transferred to bank accounts.,Insurance claims processed: 166889; Settled amount: ₹3815 crore.
63,Rajasthan,Mukhyamantri Kisan Kalyan Yojana,Farmers with valid land records and Aadhaar linkage.,Financial assistance for irrigation infrastructure.,Insurance claims processed: 192289; Settled amount: ₹2289 crore.
64,Karnataka,KALIA Scheme,Farmers with valid land records and Aadhaar linkage.,Financial assistance for irrigation infrastructure.,Beneficiaries enrolled: ~3461324 farmers; Annual budget utilization: ₹4136 crore.
65,Jharkhand,Rajiv Gandhi Kisan Nyay Yojana,Farmers registered with state agriculture department.,Financial assistance for irrigation infrastructure.,Beneficiaries enrolled: ~70176 farmers; Annual budget utilization: ₹1771 crore.
66,Punjab,State Agriculture Mechanization Scheme,Tenant and smallholder farmers engaged in crop production.,Low‑interest agricultural credit through banks.,Loan disbursement cases: 1914375; Participating banks: 61.
67,Assam,Mini Tractor Subsidy Yojana,Farmers with valid land records and Aadhaar linkage.,Financial assistance for irrigation infrastructure.,Applications approved: 4259928; Coverage across districts: 63.
68,Kerala,Plant Health Care Center,Small and marginal farmers owning cultivable land.,Financial assistance for irrigation infrastructure.,Applications approved: 4751124; Coverage across districts: 18.
69,West Bengal,Fruit Orchard Development Scheme,Small and marginal farmers owning cultivable land.,Subsidized crop insurance coverage for seasonal crops.,Applications approved: 4319145; Coverage across districts: 69.
70,Haryana,Soil Health Card Scheme,Farmers with valid land records and Aadhaar linkage.,Financial assistance for irrigation infrastructure.,Applications approved: 1721456; Coverage across districts: 69.
71,Himachal Pradesh,Spice Cultivation Grant,Farmers registered with state agriculture department.,Direct income support transferred to bank accounts.,Insurance claims processed: 2821865; Settled amount: ₹1758 crore.
72,Assam,Rythu Bandhu Scheme,Farmers with valid land records and Aadhaar linkage.,Direct income support transferred to bank accounts.,Total subsidy distributed: ₹4795 crore; Farmers reached: 2712044.
73,Karnataka,Soil Health Card Scheme,Small and marginal farmers owning cultivable land.,"Support for fertilizers, seeds, and farm inputs.",Beneficiaries enrolled: ~2801267 farmers; Annual budget utilization: ₹2881 crore.
74,Tamil Nadu,State Agriculture Mechanization Scheme,Small and marginal farmers owning cultivable land.,Direct income support transferred to bank accounts.,Insurance claims processed: 2809909; Settled amount: ₹1142 crore.
75,Gujarat,Rythu Bandhu Scheme,Farmers with valid land records and Aadhaar linkage.,Low‑interest agricultural credit through banks.,Insurance claims processed: 4769140; Settled amount: ₹3560 crore.
76,Bihar,"Grant for Drip, Sprinkler, and Greenhouse",Eligible rural households involved in agriculture.,"Support for fertilizers, seeds, and farm inputs.",Applications approved: 2447249; Coverage across districts: 31.
77,Bihar,Tissue Culture Lab,Farmers registered with state agriculture department.,Low‑interest agricultural credit through banks.,Insurance claims processed: 3359600; Settled amount: ₹3396 crore.
78,Arunachal Pradesh,Renovation of Old Orchards & Canopy Improvement,Tenant and smallholder farmers engaged in crop production.,Subsidized crop insurance coverage for seasonal crops.,Total subsidy distributed: ₹1678 crore; Farmers reached: 1226514.
79,Tamil Nadu,New Orchard Establishment Grant,Farmers with valid land records and Aadhaar linkage.,Financial assistance for irrigation infrastructure.,Beneficiaries enrolled: ~3447918 farmers; Annual budget utilization: ₹1086 crore.
80,Bihar,PM Kusum C1 Yojana,Farmers registered with state agriculture department.,Subsidized crop insurance coverage for seasonal crops.,Applications approved: 4585234; Coverage across districts: 46.
81,Nagaland,Mini Tractor Subsidy Yojana,Farmers registered with state agriculture department.,Direct income support transferred to bank accounts.,Insurance claims processed: 4223040; Settled amount: ₹494 crore.
82,Jharkhand,Spice Cultivation Grant,Farmers with valid land records and Aadhaar linkage.,Subsidized crop insurance coverage for seasonal crops.,Beneficiaries enrolled: ~485484 farmers; Annual budget utilization: ₹3916 crore.
83,West Bengal,KALIA Scheme,Small and marginal farmers owning cultivable land.,Financial assistance for irrigation infrastructure.,Total subsidy distributed: ₹660 crore; Farmers reached: 3724983.
84,Tamil Nadu,Tissue Culture Lab,Farmers with valid land records and Aadhaar linkage.,"Support for fertilizers, seeds, and farm inputs.",Insurance claims processed: 889518; Settled amount: ₹4584 crore.
85,Rajasthan,YSR Rythu Bharosa,Small and marginal farmers owning cultivable land.,"Support for fertilizers, seeds, and farm inputs.",Beneficiaries enrolled: ~132820 farmers; Annual budget utilization: ₹4616 crore.
86,Haryana,Grant on Agricultural Equipment and Diesel Pump Sets,Tenant and smallholder farmers engaged in crop production.,Low‑interest agricultural credit through banks.,Total subsidy distributed: ₹156 crore; Farmers reached: 240845.
87,Arunachal Pradesh,Soil Health Card Scheme,Tenant and smallholder farmers engaged in crop production.,Low‑interest agricultural credit through banks.,Applications approved: 2127191; Coverage across districts: 65.
88,Nagaland,New Orchard Establishment Grant,Farmers with valid land records and Aadhaar linkage.,Subsidized crop insurance coverage for seasonal crops.,Loan disbursement cases: 3005262; Participating banks: 11.
89,Arunachal Pradesh,Mini Tractor Subsidy Yojana,Farmers registered with state agriculture department.,Subsidized crop insurance coverage for seasonal crops.,Total subsidy distributed: ₹615 crore; Farmers reached: 451110.
90,West Bengal,Beekeeping Subsidy,Tenant and smallholder farmers engaged in crop production.,Low‑interest agricultural credit through banks.,Loan disbursement cases: 1476953; Participating banks: 44.
91,West Bengal,"Grant for Drip, Sprinkler, and Greenhouse",Farmers registered with state agriculture department.,"Support for fertilizers, seeds, and farm inputs.",Beneficiaries enrolled: ~1876215 farmers; Annual budget utilization: ₹4131 crore.
92,Punjab,Vegetable & Spice Seed Production Subsidy,Eligible rural households involved in agriculture.,Direct income support transferred to bank accounts.,Applications approved: 4803621; Coverage across districts: 20.
93,Karnataka,Subsidy for Mushroom Units,Farmers registered with state agriculture department.,Direct income support transferred to bank accounts.,Applications approved: 411132; Coverage across districts: 72.
94,Gujarat,"Flower Cultivation Grant (Rose, Marigold, Gerbera, Jasmine, Tuberose)",Farmers with valid land records and Aadhaar linkage.,Subsidized crop insurance coverage for seasonal crops.,Insurance claims processed: 3480669; Settled amount: ₹1033 crore.
95,Gujarat,Pradhan Mantri Krishi Sinchai Yojana (PMKSY),Farmers with valid land records and Aadhaar linkage.,Low‑interest agricultural credit through banks.,Insurance claims processed: 1664037; Settled amount: ₹2267 crore.
96,Kerala,State Agriculture Mechanization Scheme,Farmers with valid land records and Aadhaar linkage.,Financial assistance for irrigation infrastructure.,Applications approved: 3272185; Coverage across districts: 37.
97,Bihar,National AYUSH Mission,Farmers with valid land records and Aadhaar linkage.,Low‑interest agricultural credit through banks.,Applications approved: 2878867; Coverage across districts: 70.
98,Tripura,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Small and marginal farmers owning cultivable land.,Direct income support transferred to bank accounts.,Applications approved: 2281060; Coverage across districts: 29.
99,West Bengal,YSR Rythu Bharosa,Eligible rural households involved in agriculture.,"Support for fertilizers, seeds, and farm inputs.",Applications approved: 1095151; Coverage across districts: 62.
100,Uttarakhand,Plant Health Care Center,Small and marginal farmers owning cultivable land.,Subsidized crop insurance coverage for seasonal crops.,Total subsidy distributed: ₹258 crore; Farmers reached: 2303940.
